"Informazioni cronologiche","PDF books provide a more enjoyable reading experience compared to Hardcover books.","It is easier to focus and retain information when reading from a Digital book compared to a physical book.","It is more convenient to carry a hardcover book when travelling.","There are significant environmental impacts from producing and shipping hardcover books.","The sentimental attachment that comes with owning physical books are more valuable than PDFs.","It is more effective to study from a hardcover textbook than from a PDF.","PDF books provide a more enjoyable reading experience compared to Hardcover books.","It is easier to focus and retain information when reading from a Digital book compared to a physical book.","It is more convenient to carry a hardcover book when travelling.","There are significant environmental impacts from producing and shipping hardcover books.","The sentimental attachment that comes with owning physical books are more valuable than PDFs.","It is more effective to study from a hardcover textbook than from a PDF.","Specify your gender","Age","Educational Level"
"2023/11/14 2:28:18 PM CET","Disagree","Disagree","Disagree","Agree","Agree","Agree","Strongly disagree","Disagree","Disagree","Agree","Agree","Neutral","-","-","-"
"2023/11/14 2:29:36 PM CET","Strongly disagree","Disagree","Disagree","Agree","Agree","Disagree","Strongly disagree","Disagree","Disagree","Agree","Agree","Disagree","-","-","-"
"2023/11/14 2:34:57 PM CET","Agree","Disagree","Strongly disagree","Agree","Neutral","Agree","Disagree","Neutral","Neutral","Agree","Agree","Agree","-","-","-"
"2023/11/14 2:36:52 PM CET","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Agree","Neutral","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Agree","Neutral","-","-","-"
"2023/11/14 2:43:25 PM CET","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly agree","Strongly agree","-","-","-"
"2023/11/14 3:43:33 PM CET","Disagree","Neutral","Disagree","Agree","Disagree","Disagree","Disagree","Neutral","Disagree","Agree","Disagree","Disagree","Male","25","Master"
"2023/11/14 6:07:54 PM CET","Disagree","Agree","Strongly disagree","Agree","Agree","Strongly disagree","Disagree","Neutral","Strongly disagree","Agree","Agree","Strongly disagree","Male","28","Master"
"2023/11/14 9:08:51 PM CET","Disagree","Disagree","Neutral","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Female","26","Master"
"2023/11/15 12:00:58 AM CET","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Neutral","Strongly agree","Female","27","Master"
"2023/11/15 12:01:33 AM CET","Strongly agree","Neutral","Strongly disagree","Strongly agree","Strongly agree","Agree","Disagree","Neutral","Strongly disagree","Strongly agree","Strongly agree","Neutral","Male","27","Master"
"2023/11/15 9:02:01 AM CET","Disagree","Disagree","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Male","22","Master"
"2023/11/22 10:29:36 AM CET","Disagree","Disagree","Disagree","Agree","Neutral","Agree","Disagree","Disagree","Disagree","Agree","Neutral","Agree","Male","29","Master"
"2023/11/22 11:07:58 AM CET","Disagree","Strongly disagree","Disagree","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Female","24","Master"
"2023/11/22 11:25:24 AM CET","Disagree","Disagree","Disagree","Agree","Neutral","Agree","Disagree","Neutral","Disagree","Agree","Neutral","Agree","Female","25","Master"
"2023/11/22 11:35:18 AM CET","Agree","Strongly disagree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Male","24","Master"
